iter	Passed	Remaining
399	61958	61958
400	62132	61823
401	62282	61662
402	62439	61509
403	62592	61352
404	62748	61198
405	62898	61039
406	63063	60894
407	63214	60735
408	63359	60571
409	63506	60408
410	63648	60241
411	63790	60074
412	63938	59913
413	64107	59771
414	64273	59627
415	64411	59456
416	64580	59315
417	64741	59165
418	64904	59018
419	65050	58854
420	65197	58692
421	65344	58531
422	65478	58357
423	65638	58207
424	65794	58053
425	65937	57888
426	66088	57730
427	66242	57574
428	66391	57415
429	66535	57251
430	66682	57089
431	66843	56941
432	66991	56780
433	67146	56626
434	67302	56472
435	67460	56320
436	67616	56166
437	67753	55997
438	67911	55845
439	68062	55687
440	68218	55534
441	68393	55395
442	68539	55233
443	68691	55076
444	68860	54934
445	69013	54777
446	69159	54616
447	69322	54468
448	69493	54325
449	69645	54168
450	69794	54009
451	69941	53848
452	70103	53699
453	70261	53547
454	70397	53378
455	70545	53218
456	70704	53067
457	70850	52906
458	71015	52758
459	71174	52607
460	71353	52470
461	71496	52306
462	71642	52145
463	71801	51994
464	71955	51838
465	72112	51685
466	72264	51529
467	72405	51364
468	72561	51210
469	72721	51059
470	72861	50894
471	73026	50747
472	73196	50602
473	73357	50452
474	73526	50307
475	73701	50166
476	73854	50010
477	74003	49851
478	74153	49693
479	74321	49547
480	74487	49400
481	74635	49240
482	74796	49090
483	74930	48921
484	75108	48781
485	75274	48634
486	75441	48486
487	75604	48337
488	75778	48194
489	75937	48041
490	76115	47901
491	76275	47749
492	76422	47589
493	76584	47438
494	76730	47278
495	76877	47118
496	77053	46976
497	77196	46813
498	77347	46656
499	77498	46498
500	77647	46340
501	77807	46188
502	77972	46039
503	78130	45885
504	78265	45719
505	78423	45566
506	78574	45408
507	78720	45248
508	78879	45096
509	79025	44936
510	79179	44780
511	79327	44621
512	79486	44469
513	79641	44314
514	79805	44164
515	79961	44010
516	80113	43853
517	80254	43690
518	80414	43538
519	80574	43386
520	80740	43237
521	80912	43091
522	81061	42932
523	81210	42774
524	81401	42638
525	81550	42480
526	81721	42333
527	81877	42179
528	82034	42025
529	82178	41864
530	82338	41712
531	82515	41568
532	82696	41425
533	82860	41275
534	83002	41113
535	83150	40954
536	83297	40795
537	83449	40638
538	83594	40478
539	83756	40327
540	83941	40186
541	84116	40040
542	84291	39895
543	84450	39741
544	84602	39584
545	84761	39431
546	84941	39287
547	85100	39133
548	85244	38973
549	85392	38814
550	85539	38655
551	85695	38500
