iter	Logloss
0	0.644418617
1	0.6067500726
2	0.562889364
3	0.5372827549
4	0.5083509427
5	0.4880632939
6	0.4698684013
7	0.4505911632
8	0.437046412
9	0.42250325
10	0.3999757605
11	0.3852717487
12	0.3771119767
13	0.3570836869
14	0.3488184124
15	0.3395931979
16	0.3263261809
17	0.3084405374
18	0.3004957881
19	0.2889454006
20	0.2827779455
21	0.2748938225
22	0.2691451606
23	0.2616692822
24	0.2560290508
25	0.2505721896
26	0.2463308046
27	0.2350754945
28	0.2301769811
29	0.2263483118
30	0.2234695012
31	0.2207885985
32	0.218297531
33	0.2156707081
34	0.2080419828
35	0.2034953813
36	0.2007938229
37	0.1972937552
38	0.1933374715
39	0.1892799976
40	0.187115293
41	0.1855323397
42	0.1823060367
43	0.1801290262
44	0.1788215778
45	0.1724783226
46	0.1713185489
47	0.1695486562
48	0.1672132035
49	0.1657034329
50	0.164371203
51	0.1626648993
52	0.1595148668
53	0.158049325
54	0.1567954316
55	0.1556607821
56	0.1546943076
57	0.1513382918
58	0.1490665646
59	0.1483322941
60	0.1473809222
61	0.1466406388
62	0.1449200967
63	0.1442328339
64	0.1436179743
65	0.1425431448
66	0.1408298208
67	0.1400188235
68	0.1382884944
69	0.137300572
70	0.1366259675
71	0.1348360041
72	0.1328244942
73	0.131477975
74	0.1295599282
75	0.1288777177
76	0.1281497585
77	0.1273275327
78	0.1268940157
79	0.1241508985
80	0.1232635715
81	0.1224700937
82	0.1220031034
83	0.1213585261
84	0.1208684579
85	0.1202932721
86	0.1196458075
87	0.1190425128
88	0.1185207809
89	0.1175747927
90	0.1170907652
91	0.1167641349
92	0.1162931721
93	0.1157091556
94	0.1149806753
95	0.1145885263
96	0.1142220244
97	0.1137468757
98	0.1132981884
99	0.1121631348
100	0.1118489073
101	0.1112677097
102	0.1109241341
103	0.1099789195
104	0.1092529109
105	0.108925243
106	0.1086020478
107	0.1083121455
108	0.1081097947
109	0.1077706604
110	0.1074895379
111	0.1071373232
112	0.1066357193
113	0.1063293668
114	0.1053413806
115	0.1051059026
116	0.1047354052
117	0.1044235044
118	0.1041189634
119	0.1038532466
120	0.1035143139
121	0.1030536082
122	0.1026578713
123	0.1021906124
124	0.1018590231
125	0.1015912403
126	0.1012917797
127	0.1009504794
128	0.1004597456
129	0.1001615186
130	0.0997682548
131	0.09953746025
132	0.09917546254
133	0.09891065308
134	0.09857105763
135	0.09787911134
136	0.09730452515
137	0.0971018749
138	0.09684911893
139	0.09663485077
140	0.09621806037
141	0.09596486778
142	0.09563797292
143	0.09538095764
144	0.09522604549
145	0.09500855835
146	0.09477999521
147	0.09459276335
148	0.09437006803
149	0.09410510271
150	0.09383886072
151	0.09364161194
152	0.09343124406
153	0.09314917568
154	0.09297918298
155	0.09262836439
156	0.09232649319
157	0.0920291973
158	0.09187018897
159	0.09161033255
160	0.09141583251
161	0.09124476745
162	0.09100262293
163	0.09069968116
164	0.09050606445
165	0.0899424586
166	0.08968816805
167	0.08930357288
168	0.08902703957
169	0.08865664186
170	0.0883975079
171	0.08825738622
172	0.08771913611
173	0.08711638523
174	0.08693952282
175	0.08645507925
176	0.0863179185
177	0.08597741271
178	0.08531681235
179	0.08511095844
180	0.08491350386
181	0.08475815761
182	0.08455040267
183	0.0843493912
184	0.08391432065
185	0.08362062829
186	0.08340005486
187	0.08321383313
188	0.08306647296
189	0.08295526902
190	0.08261698973
191	0.08227660204
192	0.08182529304
193	0.08162382241
194	0.08140728247
195	0.08120774042
196	0.0810467509
197	0.08078072704
198	0.08060575812
199	0.08040354909
200	0.0803014498
201	0.08009997187
202	0.07992369837
203	0.07960711295
204	0.07947706151
205	0.07926050981
206	0.07916561323
207	0.07906524732
208	0.07892391109
209	0.07872952893
210	0.07861131421
211	0.07848244278
